Temperature (°C),Dissolved Oxygen (mg/L),PH,Hardness (ppm),Humidity (%),Density (fish/L),Nitrogen Load (mg/L),Substrate,Noise Level,Light-Dark Cycle,Water Flow,ECI
26.44686532245526,5.723707061355174,6.726163841245344,62.24741131370622,46.65224487173696,5.609527967978206,65.09547178631509,glass,medium,10/14,low,15
24.8868442854691,7.358091821807677,7.1398277961205,65.3784852594974,64.39826456923869,5.366537223895042,54.60740245068242,gravel,low,12/12,high,40
28.427819103669858,5.519385371093229,6.825419260978944,101.85322565324329,51.9543476135923,4.301366660604177,44.449851799834704,sand,high,10/14,high,55
28.674584395331646,7.587887451551978,7.740504554605265,131.661135340102,38.138153780841336,3.062985896741659,61.30779523842301,glass,medium,12/12,medium,35
27.09815958380423,5.100701679367379,8.047742444263806,71.25845446538801,42.186228688221746,4.143969188563885,39.20672127133443,glass,low,12/12,low,45
26.29752014942913,7.864809238228605,7.500700211188239,49.391637099222535,55.41140178462735,4.0554489747231575,59.5714585693566,glass,high,12/12,medium,40
28.215317390109387,8.0883110645947,6.7666774211278256,44.96233031291152,44.533629679749694,5.630347985277722,30.350315842425893,sand,low,10/14,low,45
26.17741599717201,5.651500944909613,6.770119446588583,89.29615454244077,60.13847514096292,4.640110533158941,28.955325951877562,gravel,medium,12/12,low,55
26.27098252466968,5.484782476244277,8.168501996609008,124.3031789943135,59.3581136347115,2.1399642387759172,29.088442706735204,gravel,low,12/12,high,50
26.412560118202936,5.170179978014888,6.360692197711344,68.37279426340436,48.50035835420967,2.970581059128418,21.761592948938677,gravel,medium,12/12,low,40
27.684027367841527,7.077405034190113,6.905878701684543,58.29733652774933,40.893523773299584,2.2222069679583902,39.85305217156844,sand,medium,10/14,low,75
28.537713427607525,5.397836366260551,7.618468944180359,101.70749794528655,53.51588496041153,4.835968330768352,39.55770431940999,gravel,high,12/12,low,35
27.248592688355036,7.381902268029147,6.397736586067187,140.21607652134657,33.80811247732712,3.790496414802769,39.468004940271136,glass,medium,14/10,low,60
26.61454358153957,7.282476638589774,7.22669413063446,88.56581358210889,63.007729548225235,3.4323730216402417,10.081210912534365,sand,low,10/14,high,90
27.581222973085374,6.4308608801352305,7.471760825060775,115.67621799346955,58.987221945830655,3.8643920414006043,63.921227755498066,gravel,medium,14/10,low,60
