Temperature (°C),Dissolved Oxygen (mg/L),PH,Hardness (ppm),Humidity (%),Density (fish/L),Nitrogen Load (mg/L),Substrate,Noise Level,Light-Dark Cycle,Water Flow,ECI,Comfort Category
25.2887918497143,5.629319073254685,6.745595587204732,76.80600337386349,53.8529783971675,6.721703934461758,56.42833109863158,glass,medium,10/14,medium,20,Low
27.945309108388333,5.834664491310219,7.495082351301915,47.98678143100206,63.30828243365652,4.489115108903899,62.33454954574113,sand,medium,14/10,low,30,Low
24.790463061820823,7.828912068085842,7.272335390338708,92.29823295570546,59.867201102081594,3.5951608730020803,43.19076689714728,glass,low,12/12,medium,65,Medium
26.35460417572642,7.096053080373381,7.931459187257875,109.72774366672616,50.56725521803609,5.772534746124799,18.901526422188024,glass,low,10/14,low,50,Medium
25.76314224720043,7.448627441789652,8.258850956961718,131.77532888446984,34.78336251076455,6.812532643907797,66.36032894466769,sand,low,14/10,medium,15,Low
25.37432660951559,5.87957184929035,8.034248787723262,88.7355475001573,43.820641467966766,4.388587153584769,32.655235673499874,glass,medium,12/12,medium,45,Medium
26.154176409209274,7.276661784225515,6.465449370006661,60.81825254017348,45.25361789485634,3.5294318175274637,64.24733008166437,gravel,medium,12/12,high,45,Medium
26.65211647069527,5.105320203677503,6.952535348989747,62.421910635586855,67.19853808094395,4.837465957083699,27.82982542382061,gravel,high,14/10,high,65,Medium
25.25856944041929,7.781438542051391,6.677070721060426,118.09018875853661,52.314133385582686,2.3083332202916185,34.19292245528252,sand,medium,12/12,medium,65,Medium
26.230042315672428,7.442816917698501,6.882175367645117,101.59276187599097,32.8829236753794,2.658347388182308,11.4946543093303,glass,low,10/14,low,65,Medium
24.967687375228415,7.565007105345624,6.897978395006329,98.95448827517635,43.783278010194685,5.178276309776983,45.98156347211731,glass,medium,14/10,medium,60,Medium
26.122422494221876,7.358204610784805,6.200966943674072,125.52170484693083,49.991109255269365,6.407135649361782,38.835098171766575,glass,medium,10/14,low,40,Medium
28.487870732323408,5.347192525818129,6.10046798552013,93.97347375012063,40.194287190029705,5.211490579165861,42.52243230838508,glass,high,12/12,low,10,Low
25.40998003364278,5.520992584059344,6.532207900765002,73.16798973648838,49.9754325908541,6.4772570010327435,24.561640655232736,sand,low,14/10,medium,45,Medium
25.922990332316463,5.896658370597835,7.076291844173971,117.94586605745607,47.29722969024201,6.544371047021987,47.10157447328829,sand,high,10/14,high,35,Low
26.33525744466008,5.455826917819238,6.77662710227577,54.794093097342056,37.05726881622052,6.603964373302199,14.178861307927138,gravel,high,12/12,low,20,Low
27.571171521256883,7.538858395191172,7.272882424830305,99.5626768242349,54.58764663164341,7.044951136796569,68.19183548471092,gravel,medium,14/10,high,50,Medium
26.8120188979464,7.290487922159529,6.463513165644952,109.68941832226785,58.6731430089561,2.2414954200963315,20.247888524601375,sand,low,12/12,medium,65,Medium
24.42300500537612,6.02132283690249,7.643188624331463,89.63157457019587,49.24197721249207,7.4240998012290165,63.64778936753942,glass,medium,12/12,medium,5,Low
29.289227238303077,5.52994118014323,7.73251231966415,96.5926978653977,50.77027594189257,4.323357632793673,10.2330934082775,sand,medium,10/14,medium,45,Medium
26.146419762733363,6.6110951770934,7.545576074991723,144.4769141577446,32.0717470093021,2.1241549916166704,25.947569043549255,gravel,high,12/12,low,45,Medium
25.317550417739053,6.412729623387863,6.530767956257212,78.49783768180674,59.45233023527921,3.61294036185051,59.34795029194802,glass,high,10/14,high,40,Medium
26.102999702528987,8.26303305073448,6.836759457499746,136.9340786345419,46.41224099866445,5.152331559597119,23.067359694648708,gravel,low,10/14,low,75,High
25.64077240708417,6.263631520810085,7.943741027007541,109.54144847304481,48.3110635374161,4.158283312255937,35.65868789488811,glass,high,14/10,medium,50,Medium
27.07767414045993,7.566378980166174,7.3480824919200955,125.21211463513893,55.28430870797411,4.407158961048544,12.928391047747057,glass,low,14/10,high,95,High
29.733961923549405,7.229059341400246,8.197600856536427,41.52365166226751,33.39454391253011,6.705433276649163,36.67560803284535,sand,low,14/10,low,10,Low
26.08406927637776,5.549822298965917,7.599995357353885,121.45824201211927,55.40991237689244,1.9338846335848772,28.766667235842924,sand,high,10/14,high,35,Low
28.851362337723074,7.238548399788993,7.742482358800558,37.30224719074839,58.3411684100656,6.558470425810324,47.77021449036038,glass,low,10/14,medium,40,Medium
23.971039584865498,7.022284687798608,7.594249792709638,41.20122066285452,55.467264605461985,2.6078909759912903,58.60912343439366,sand,high,12/12,low,0,Low
27.123335371892093,8.073545595982445,6.900952820527903,93.64674880457915,54.07941353195043,4.144935143759084,65.00861018247409,glass,high,10/14,medium,45,Medium
27.298182132288364,6.184661174108514,7.264591570091817,144.28326302890065,61.05475341532507,2.4176247217231905,11.896094848103754,sand,medium,10/14,low,70,High
27.095354479326033,5.586358825213412,7.323200711066753,40.93634552730309,54.83735083415558,5.861234742313869,53.95666510446051,glass,medium,12/12,high,40,Medium
29.11979266688881,7.174756555068029,6.507078848402012,68.53358608994121,47.09733914608782,4.47069382031938,9.531735396668642,glass,high,12/12,medium,40,Medium
29.51145350476995,5.345600355138992,6.076570710233775,78.95645731515039,38.20110783224651,4.4950462395037505,71.54205941566113,sand,low,10/14,high,0,Low
27.72937951178448,8.27750810596176,6.169973704019035,48.28348328078369,60.60609413347158,4.183587647768484,14.150664103956458,glass,medium,14/10,medium,60,Medium
24.49847639669844,7.075970835489626,7.342544429584257,42.640449367875256,67.57764543675822,4.157786626145865,43.847401151354376,glass,medium,12/12,medium,50,Medium
29.71706942813606,5.886595870802017,6.875210809842125,102.84443107702484,63.76832672054301,3.68707126427028,11.084617507159129,glass,medium,10/14,low,35,Low
28.199357514108584,7.357775348009028,6.669807305648705,44.55172953843507,37.0499685000177,3.3963060864918884,41.443979740710994,glass,low,14/10,low,50,Medium
27.074176707827153,5.568629904240908,7.00830339965279,144.20726299351824,46.35530937234907,4.856899541406004,21.44570708745566,sand,medium,12/12,high,80,High
26.516301608837498,5.976949990542054,6.981147050816037,109.11138828828287,46.431464945638574,6.892709262794943,59.65133743829865,gravel,high,12/12,medium,30,Low
26.67282964498291,6.600786274735999,7.25343313892546,137.8886203668514,53.650509860433026,5.538771361759405,39.95312294599412,glass,high,12/12,high,65,Medium
26.555574383969503,5.171759039041311,7.633924875350665,149.65788271471308,53.39996453601667,5.5402121315560295,44.07901479555571,gravel,low,10/14,low,50,Medium
29.043709418348772,6.951212158148741,7.521917192827644,72.5837755240151,50.351900476768265,4.800461644456356,12.859774538962705,sand,high,12/12,medium,45,Medium
29.17244102010093,7.2051528708998145,6.941338677046557,61.571792865034524,46.982137668761375,4.540676538209987,29.44715303644838,sand,high,14/10,low,50,Medium
28.279542363709083,6.278312336590733,7.461921122960565,136.16602034868006,45.095094244122976,6.403288578944762,52.166924233003584,gravel,low,10/14,medium,50,Medium
24.13261787165392,5.927243351344251,6.648493145621528,60.25361858944167,44.76159608161238,2.732638911327796,24.139159123570018,sand,medium,10/14,medium,35,Low
26.428544901412074,5.241074974000247,7.40688431190055,86.18171860276006,52.66977012706352,5.663442348638164,71.68129495760128,sand,medium,14/10,low,35,Low
26.434182211729947,5.181731093029536,6.753317785492057,132.10445043865698,39.171736331380686,4.488843116779583,25.528524061705568,glass,high,14/10,medium,50,Medium
26.022439589632967,7.3876438993844635,8.091020336460149,159.70282074175512,42.896558314367034,4.684320144844338,39.97377479230063,sand,high,14/10,medium,55,Medium
28.48420840331385,4.842924606546383,6.342967417691106,40.42427793446082,53.5179793329938,5.135542449116758,37.27376475645139,sand,low,10/14,high,15,Low
29.76110248475013,6.968311160839156,6.925827443774612,113.23376175645947,49.9893506177793,4.605571440514832,72.81210239937046,sand,medium,12/12,high,40,Medium
26.236085490123973,7.355393318970609,6.79454011312064,109.6695051796843,36.728333868188756,4.243162732651125,24.778171349695185,glass,medium,10/14,medium,75,High
28.165630896211137,6.957171781920189,7.219260945212647,103.97205468021599,65.48324325069483,4.254864525254829,31.665950878489642,glass,high,10/14,low,50,Medium
29.659904542196557,6.880954319131626,7.7747658241245,54.32940311691047,55.27193199708202,3.4146440319820948,29.579164658207414,gravel,high,12/12,high,45,Medium
26.280390125655863,5.417593553399948,6.693533486512041,109.35902865719137,51.53266894430383,2.2541126405783745,24.120057690582147,sand,low,10/14,high,60,Medium
28.954035424789506,5.1828490262104765,7.313338643972758,117.12766785225305,50.20755427808577,6.604228568985588,30.991968457299524,gravel,medium,14/10,medium,55,Medium
28.609760100047293,7.128700718264949,7.930641316570761,150.0223130397079,49.42991414883688,3.4844074361694974,50.67360154749927,gravel,high,12/12,medium,25,Low
26.42415083999651,7.733800015910423,7.128314451911619,72.73298566745959,47.38006689528013,3.168617022643401,55.988541684321554,gravel,low,10/14,low,70,High
26.367961423532712,5.970855021720972,7.402999431417073,148.264231250312,60.47669655415694,6.263493349589852,40.33885758507535,gravel,medium,14/10,medium,60,Medium
25.214488731052064,7.374127826566332,6.923987653679629,73.53591382028063,59.33325484006602,3.7377190819424393,72.90816756770488,gravel,low,10/14,low,45,Medium
25.603043252317605,5.23275005361687,6.844396696654139,73.61148492228286,51.73849105794702,5.505181078940119,64.48143461461525,glass,high,10/14,medium,10,Low
27.684423547026995,6.577305951423282,8.244092815227095,116.23642365767321,40.97176778223364,3.62427117074543,37.33145435996921,glass,high,14/10,medium,60,Medium
26.125171877491404,7.1598142304592916,6.9002864689572485,84.84348925554193,48.685880905046105,3.274496448723199,17.680209715968335,glass,low,12/12,medium,90,High
25.494356377479004,6.113674698894849,7.918481972358018,110.16652827594527,44.28129741726455,3.087954376368993,11.698478808464282,glass,medium,14/10,low,55,Medium
26.44616165048208,6.735507048741168,6.796794262901355,86.40063420364336,43.28451824267332,3.065251426522702,36.37455890560423,gravel,medium,12/12,medium,85,High
24.060856070979064,6.567810452291988,7.97722783146999,38.4789598068044,54.22705628451064,6.801954262384419,52.45413287234708,glass,high,10/14,low,0,Low
27.521578573738118,5.861462756110244,7.393291846148079,128.11529032489028,68.44038075663593,4.557046397650756,42.77699526593532,glass,high,14/10,high,60,Medium
28.26810025345226,8.377444927266449,6.678412207072175,126.01217858261292,65.68300309226342,2.4645745709098597,17.734897506174892,gravel,high,10/14,high,45,Medium
28.344934878097582,6.072584729013633,6.560962704733084,99.62015837402228,32.404329728889664,6.714295174615166,13.290480961471125,sand,medium,14/10,medium,55,Medium
26.553098129194357,6.324280448212038,5.9824169020248,150.26429225985305,46.32538430424132,4.725546752658861,43.287175376055906,sand,low,10/14,high,65,Medium
27.250466919660717,6.176470292156869,6.520447013163762,111.61217230521801,61.73559017015885,2.6169591416382385,55.53733413167371,glass,high,12/12,low,25,Low
26.149854380725017,5.898546855539692,7.685639514589997,92.42439772199575,62.12057055773332,5.69415377479896,22.962131091328672,gravel,low,14/10,low,50,Medium
25.6537037246603,5.58576297767211,6.879498688426497,154.932307529341,56.42550790384819,3.4110136106218447,29.519787142894298,sand,low,12/12,medium,60,Medium
27.06048175895292,6.16617030955716,7.6572051397988155,132.70732147210535,51.4456864085905,6.908451833126089,58.226596901744394,sand,low,14/10,medium,55,Medium
24.312754551370425,6.748439996470028,7.626577977103907,97.55305227294603,37.01033534586877,3.4458942300845226,19.358142854358086,gravel,low,12/12,high,55,Medium
27.147405765402326,6.263517722790437,7.007440595429895,97.91226388276765,34.35230057734005,5.844623274156197,25.609384113045145,gravel,medium,14/10,high,85,High
